table_name	approx_rows	data_bytes	index_bytes	engine	collation	table_comment
noc_autologin	1	60	2048	MyISAM	latin1_swedish_ci	
wp_abj404_engine_profiles	0	16384	16384	InnoDB	utf8mb4_unicode_520_ci	
wp_abj404_logsv2	2371	2637824	1228800	InnoDB	utf8mb4_unicode_520_ci	404 Solution Plugin Logs Table.
wp_abj404_logs_hits	0	16384	16384	InnoDB	utf8mb4_unicode_520_ci	
wp_abj404_lookup	3	16384	16384	InnoDB	utf8mb4_unicode_520_ci	404 Solution Plugin Lookup Table
wp_abj404_redirects	995	262144	671744	InnoDB	utf8mb4_unicode_520_ci	404 Solution Plugin Redirects Table
wp_abj404_redirect_conditions	0	16384	32768	InnoDB	utf8mb4_unicode_520_ci	404 Solution Redirect Conditions Table
wp_abj404_view_done	995	152128	278528	MyISAM	latin1_swedish_ci	404 Solution staged view build buffer
wp_actionscheduler_actions	2641	1061184	277504	MyISAM	utf8mb4_unicode_520_ci	
wp_actionscheduler_claims	0	0	1024	MyISAM	utf8mb4_unicode_520_ci	
wp_actionscheduler_groups	5	144	9216	MyISAM	utf8mb4_unicode_520_ci	
wp_actionscheduler_logs	7909	445064	350208	MyISAM	utf8mb4_unicode_520_ci	
wp_commentmeta	0	0	4096	MyISAM	utf8mb4_unicode_520_ci	
wp_comments	0	0	1024	MyISAM	utf8mb4_unicode_520_ci	
wp_cr_event_signups	0	0	4096	MyISAM	utf8mb4_unicode_520_ci	
wp_cr_forum_posts	2	716	6144	MyISAM	utf8mb4_unicode_520_ci	
wp_cr_live_comments	5	292	5120	MyISAM	utf8mb4_unicode_520_ci	
wp_cr_live_likes	3	120	4096	MyISAM	utf8mb4_unicode_520_ci	
wp_cr_live_presence	2	88	4096	MyISAM	utf8mb4_unicode_520_ci	
wp_cr_live_sessions	4	2068	5120	MyISAM	utf8mb4_unicode_520_ci	
wp_cr_live_views	41	1964	4096	MyISAM	utf8mb4_unicode_520_ci	
wp_cr_pdf_downloads	1	408	11264	MyISAM	utf8mb4_unicode_520_ci	
wp_cr_prayer_requests	1	372	13312	MyISAM	utf8mb4_unicode_520_ci	
wp_e_events	0	0	1024	MyISAM	utf8mb4_unicode_520_ci	
wp_e_notes	0	0	4096	MyISAM	utf8mb4_unicode_520_ci	
wp_e_notes_users_relations	0	0	2048	MyISAM	utf8mb4_unicode_520_ci	
wp_e_submissions	0	0	4096	MyISAM	utf8mb4_unicode_520_ci	
wp_e_submissions_actions_log	0	0	2048	MyISAM	utf8mb4_unicode_520_ci	
wp_e_submissions_values	0	0	2048	MyISAM	utf8mb4_unicode_520_ci	
wp_fc_campaigns	3	23136	5120	MyISAM	utf8mb4_unicode_520_ci	
wp_fc_campaign_emails	66	18576	14336	MyISAM	utf8mb4_unicode_520_ci	
wp_fc_campaign_url_metrics	10	740	6144	MyISAM	utf8mb4_unicode_520_ci	
