TABLE_NAME	col_count
noc_autologin	4
wp_abj404_engine_profiles	7
wp_abj404_logsv2	12
wp_abj404_logs_hits	5
wp_abj404_lookup	2
wp_abj404_redirects	13
wp_abj404_redirect_conditions	7
wp_abj404_view_done	20
wp_actionscheduler_actions	14
wp_actionscheduler_claims	2
wp_actionscheduler_groups	2
wp_actionscheduler_logs	5
wp_commentmeta	4
wp_comments	15
wp_cr_event_signups	12
wp_cr_forum_posts	15
wp_cr_live_comments	6
wp_cr_live_likes	4
wp_cr_live_presence	5
wp_cr_live_sessions	14
wp_cr_live_views	6
wp_cr_pdf_downloads	11
wp_cr_prayer_requests	18
wp_e_events	3
wp_e_notes	17
wp_e_notes_users_relations	6
wp_e_submissions	22
wp_e_submissions_actions_log	10
wp_e_submissions_values	4
wp_fc_campaigns	25
wp_fc_campaign_emails	18
wp_fc_campaign_url_metrics	11
wp_fc_funnels	10
wp_fc_funnel_metrics	10
wp_fc_funnel_sequences	18
wp_fc_funnel_subscribers	17
wp_fc_lists	7
wp_fc_meta	7
wp_fc_sequence_tracker	12
wp_fc_subscribers	30
wp_fc_subscriber_meta	8
wp_fc_subscriber_notes	11
wp_fc_subscriber_pivot	8
wp_fc_tags	6
wp_fc_terms	10
wp_fc_term_relations	7
wp_fc_url_stores	5
wp_ff_scheduled_actions	12
wp_fluentform_draft_submissions	14
wp_fluentform_entry_details	6
wp_fluentform_forms	11
wp_fluentform_form_analytics	11
wp_fluentform_form_meta	4
wp_fluentform_logs	9
wp_fluentform_order_items	12
wp_fluentform_submissions	21
wp_fluentform_submission_meta	10
wp_fluentform_subscriptions	29
wp_fluentform_transactions	22
wp_fsmpt_email_logs	16
wp_links	13
wp_litespeed_url	3
wp_litespeed_url_file	8
wp_options	4
wp_postmeta	4
wp_posts	23
wp_rank_math_404_logs	6
wp_rank_math_internal_links	11
wp_rank_math_internal_meta	4
wp_rank_math_link_genius_audit	9
wp_rank_math_link_genius_history	14
wp_rank_math_link_genius_maps	12
wp_rank_math_link_genius_map_variations	5
wp_rank_math_link_genius_snapshots	6
wp_rank_math_redirections	9
wp_rank_math_redirections_cache	6
wp_snippets	12
wp_termmeta	4
wp_terms	4
wp_term_relationships	3
wp_term_taxonomy	6
wp_tutor_carts	5
wp_tutor_cart_items	5
wp_tutor_coupons	19
wp_tutor_coupon_applications	2
wp_tutor_coupon_usages	3
wp_tutor_customers	11
wp_tutor_earnings	17
wp_tutor_notification_preferences	6
wp_tutor_ordermeta	8
wp_tutor_orders	29
wp_tutor_order_itemmeta	4
wp_tutor_order_items	7
wp_tutor_quiz_attempts	16
wp_tutor_quiz_attempt_answers	10
wp_tutor_quiz_questions	10
wp_tutor_quiz_question_answers	10
wp_tutor_withdraws	7
wp_um_metadata	4
wp_usermeta	4
wp_users	10
wp_wfauditevents	7
wp_wfblockediplog	5
wp_wfblocks7	9
wp_wfconfig	3
wp_wfcrawlers	5
wp_wffilechanges	3
wp_wffilemods	10
wp_wfhits	15
wp_wfhoover	5
wp_wfissues	11
wp_wfknownfilelist	3
wp_wflivetraffichuman	3
wp_wflocs	9
wp_wflogins	9
wp_wfls_2fa_secrets	7
wp_wfls_role_counts	3
wp_wfls_settings	3
wp_wfnotifications	7
wp_wfpendingissues	11
wp_wfreversecache	3
wp_wfsecurityevents	6
wp_wfsnipcache	6
wp_wfstatus	5
wp_wftrafficrates	4
wp_wfwaffailures	4
