meta_key	rows_cnt	users_cnt	empty_cnt	filled_cnt	fill_pct	avg_len	max_len
account_status	35	35	0	35	100.0	8.0000	8
admin_color	35	35	0	35	100.0	6.0000	6
comment_shortcuts	35	35	0	35	100.0	5.0000	5
description	35	35	35	0	0.0	0.0000	0
first_name	35	35	1	34	97.1	8.5143	19
last_name	35	35	4	31	88.6	6.4286	14
locale	35	35	35	0	0.0	0.0000	0
nickname	35	35	0	35	100.0	7.4000	12
rich_editing	35	35	0	35	100.0	4.0000	4
show_admin_bar_front	35	35	0	35	100.0	4.0000	4
syntax_highlighting	35	35	0	35	100.0	4.0000	4
um_member_directory_data	35	35	0	35	100.0	137.0000	137
um_user_profile_url_slug_user_login	35	35	0	35	100.0	7.4000	12
use_ssl	35	35	0	35	100.0	1.0000	1
wp_capabilities	35	35	0	35	100.0	38.6000	59
wp_user_level	35	35	0	35	100.0	1.0286	2
synced_gravatar_hashed_id	34	34	0	34	100.0	32.0000	32
_is_tutor_student	33	33	0	33	100.0	10.0000	10
_last_login	5	5	0	5	100.0	19.0000	19
_um_last_login	5	5	0	5	100.0	19.0000	19
session_tokens	5	5	0	5	100.0	678.2000	2165
tutor_last_login	5	5	0	5	100.0	10.0000	10
wfls-last-login	5	5	0	5	100.0	10.0000	10
acquisition_source	3	3	0	3	100.0	12.6667	16
city	3	3	0	3	100.0	6.3333	7
country	3	3	0	3	100.0	12.6667	16
form_id	3	3	0	3	100.0	2.0000	2
full_name	3	3	0	3	100.0	11.6667	13
last_update	3	3	0	3	100.0	10.0000	10
newsletter_optin	3	3	0	3	100.0	60.0000	60
spiritual_status	3	3	0	3	100.0	29.3333	32
submitted	3	3	0	3	100.0	673.0000	686
terms_accepted	3	3	0	3	100.0	93.0000	93
whatsapp	3	3	0	3	100.0	10.0000	10
_cr_last_active_date	2	2	0	2	100.0	19.0000	19
_tutor_timezone	2	2	1	1	50.0	7.0000	14
um_account_secure_fields	2	2	0	2	100.0	314.5000	340
wp_elementor_connect_common_data	2	2	0	2	100.0	638.0000	638
_e_welcome_popover_displayed	1	1	0	1	100.0	1.0000	1
_is_tutor_instructor	1	1	0	1	100.0	10.0000	10
_tutor_instructor_approved	1	1	0	1	100.0	10.0000	10
_tutor_instructor_course_id	7	1	0	7	100.0	3.0000	3
_tutor_instructor_status	1	1	0	1	100.0	8.0000	8
_tutor_profile_bio	1	1	1	0	0.0	0.0000	0
