post_type	cnt	published	draft	private_st	trash	pending	auto_draft	inherit_st
revision	853	0	0	0	0	0	0	853
attachment	73	0	0	0	0	0	0	73
page	56	56	0	0	0	0	0	0
lesson	38	38	0	0	0	0	0	0
tutor_enrolled	33	0	0	0	0	0	0	0
topics	10	10	0	0	0	0	0	0
courses	7	5	0	2	0	0	0	0
um_form	3	3	0	0	0	0	0	0
wp_global_styles	2	2	0	0	0	0	0	0
elementskit_template	2	0	2	0	0	0	0	0
custom_css	2	2	0	0	0	0	0	0
tahefobu_footer	1	1	0	0	0	0	0	0
wpcode	1	1	0	0	0	0	0	0
elementor_library	1	1	0	0	0	0	0	0
wp_navigation	1	1	0	0	0	0	0	0
um_directory	1	1	0	0	0	0	0	0
tahefobu_header	1	0	1	0	0	0	0	0
post	1	0	0	0	0	0	1	0
fcrm-dummy	1	0	1	0	0	0	0	0
