meta_key	rows_cnt	posts_cnt
_elementor_template_type	852	852
_elementor_edit_mode	852	852
_elementor_migrations_state_d2a1	834	834
_elementor_pro_version	793	793
_elementor_version	793	793
_elementor_data	792	792
_elementor_page_settings	710	710
_elementor_global_class_usage_indexed	56	56
_elementor_global_class_usage_indexed_preview	56	56
_elementor_migrations_state_61cb	7	7
_elementor_migrations_state_8b2d	7	7
_elementor_conditions	4	4
_elementor_css	3	3
_elementor_global_classes_labels	3	3
_elementor_global_classes_labels_preview	3	3
_elementor_global_classes_order	3	3
_elementor_global_classes_sync_to_v3	3	3
_elementor_element_cache	2	2
_elementor_page_assets	2	2
