option_name	value_len	autoload
__fluentcrm_campaign_license	260	off
__ultimatemember_sitekey	46	auto
_elementor_design_system_sync_css_meta	38	auto
_elementor_element_cache_unique_id	32	auto
_elementor_free_to_pro_upsell	777	off
_elementor_home_screen_data	13576	off
_elementor_installed_time	10	auto
_elementor_notifications_data	10277	off
_elementor_onboarding_strings_fr_FR	5488	off
_elementor_pro_api_requests_lock	43	auto
_elementor_pro_editor_activate_license_notice_dismissed	10	auto
_elementor_pro_free_trial_data	629	off
_elementor_pro_installed_time	10	auto
_elementor_pro_license_v2_data	655	off
_elementor_pro_license_v2_data_fallback	655	off
_elementor_v4_promotions	916	off
_fc_funnel_processor_lock	0	off
_fc_last_funnel_processor	0	off
_fc_last_funnel_processor_ran	10	off
_fc_last_sequence_run	10	off
_fcrm_last_email_process_cleanup	10	off
_fcrm_last_five_minutes_run	10	off
_fcrm_last_scheduler	10	off
_ff_fluentform_pro_license_key	32	auto
_ff_fluentform_pro_license_status	5	auto
_ff_fluentform_pro_license_status_checking	352	auto
_fluentcrm_commerce_modules	50	auto
_fluentcrm_db_version	7	auto
_fluentcrm_lock_campaign_chain_3	0	off
_fluentcrm_lock_five_minute_scheduler	0	off
_fluentcrm_lock_hourly_scheduler	0	off
_fluentcrm_lock_minute_scheduler	0	off
_fluentform_global_form_settings	418	off
_fluentform_installed_version	5	off
_hello-elementor_notifications	8381	off
_site_transient_ai1wm_last_check_for_updates	10	off
_site_transient_available_translations	49419	off
_site_transient_browser_73c2e21c0fc47f8841aa6000af1e64c7	367	off
_site_transient_fs_locked_1	1	off
_site_transient_php_check_cd633f280befbb9a5fff20e12f00bb6b	145	off
_site_transient_theme_roots	81	off
_site_transient_timeout_available_translations	10	off
_site_transient_timeout_browser_73c2e21c0fc47f8841aa6000af1e64c7	10	off
_site_transient_timeout_fs_locked_1	10	off
_site_transient_timeout_php_check_cd633f280befbb9a5fff20e12f00bb6b	10	off
_site_transient_timeout_theme_roots	10	off
_site_transient_timeout_wp_theme_files_patterns-23b5eea2c78d5fa995a3f5fca4f3b987	10	off
_site_transient_timeout_wp_theme_files_patterns-61ae794afad366fd36bc00e447401c20	10	off
_site_transient_update_core	683	off
_site_transient_update_plugins	14753	off
_site_transient_update_themes	806	off
_site_transient_wp_plugin_dependencies_plugin_data	201571	off
_site_transient_wp_theme_files_patterns-23b5eea2c78d5fa995a3f5fca4f3b987	30181	off
_site_transient_wp_theme_files_patterns-61ae794afad366fd36bc00e447401c20	30181	off
_transient__elementor_ab_test_plg_site_mailer_submission	1	off
_transient_code_snippets_welcome_data	5073	off
_transient_ekit_element_manager_compatibity	1	on
_transient_ekit_lite_mailchimp_migrate	5	on
_transient_elementor_migrations_manifest	1540	off
_transient_elementor_one_elementor_one_license_check_lock	1	off
_transient_elementskit-lite-go-pro-noti2ce	1	off
_transient_googlesitekit_analytics-4_data_available	1	on
_transient_googlesitekit_conversion_reporting_skip_new_badge_events	1	on
_transient_googlesitekit_number_of_administrators	1	off
_transient_googlesitekit_search-console_data_available	1	on
_transient_googlesitekit_verification_meta_tags	6	on
_transient_health-check-site-status-result	40	on
_transient_pt_auto_update_elementor-pro	2	off
_transient_rank_math_first_submenu_id	9	on
_transient_timeout__elementor_ab_test_plg_site_mailer_submission	10	off
_transient_timeout_code_snippets_welcome_data	10	off
_transient_timeout_elementor_migrations_manifest	10	off
_transient_timeout_elementor_one_elementor_one_license_check_lock	10	off
_transient_timeout_elementskit-lite-go-pro-noti2ce	10	off
_transient_timeout_googlesitekit_number_of_administrators	10	off
_transient_timeout_pt_auto_update_elementor-pro	10	off
_transient_um_count_users_approved	2	on
_transient_um_count_users_pending_dot	1	on
_transient_wp_core_block_css_files	22750	on
_transient_wp_styles_for_blocks	11356	on
abj404_logsv2_canonical_url_backfill_complete	1	off
abj404_ngram_usage_stats	220	auto
action_scheduler_hybrid_store_demarkation	2	auto
action_scheduler_lock_async-request-runner	34	no
action_scheduler_migration_status	8	auto
active_plugins	1499	on
admin_email	26	on
admin_email_lifespan	10	on
ai1wm_secret_key	12	auto
ai1wm_status	463	auto
ai1wm_updater	6	auto
as_has_wp_comment_logs	2	on
auto_core_update_notified	132	off
auto_plugin_theme_update_emails	6	off
auto_update_core_dev	7	on
auto_update_core_major	7	on
auto_update_core_minor	7	on
auto_update_plugins	216	off
avatar_default	7	on
avatar_rating	1	on
b55970adcdbaa6c0c29107d1184efa44	49	off
blog_charset	5	on
blog_public	1	on
blogdescription	0	on
blogname	15	on
can_compress_scripts	1	on
category_base	0	on
category_children	6	auto
close_comments_days_old	2	on
close_comments_for_old_posts	1	on
code_snippets_settings	738	auto
code_snippets_version	5	auto
comment_max_links	1	on
comment_moderation	1	on
comment_order	3	on
comment_previously_approved	1	on
comment_registration	1	on
comments_notify	1	on
comments_per_page	2	on
cr_chariow_api_key	44	auto
cr_chariow_orders_endpoint	6	auto
cr_fe_db_version	3	auto
cr_featured_event	1039	auto
cr_featured_event_data	893	auto
cr_footer_newsletter_form_id	1	auto
cr_forum_db_version	3	auto
cr_last_service_video	174	auto
cr_live_chariow_bg_color	7	auto
cr_live_chariow_cta_text	29	auto
cr_live_chariow_cta_width	2	auto
cr_live_chariow_locale	2	auto
cr_live_chariow_product_id	10	auto
cr_live_chariow_store_domain	23	auto
cr_live_chariow_style	3	auto
cr_live_db_version	4	auto
cr_live_fix_209_done	1	auto
cr_onesignal_api_key	113	auto
cr_onesignal_enabled	1	auto
cr_onesignal_identify_users	1	auto
cr_os_newpost_enabled	1	auto
cr_os_newpost_types	56	auto
cr_p3_seeded	19	auto
cr_pdf_db_version	3	auto
cr_pray_db_version	3	auto
cr_retreat_settings	837	auto
cr_retreat_signups	631	off
cr_verset_jour_db	7358	auto
cr_vj_settings	62	auto
cron	7675	on
current_theme	18	auto
date_format	5	on
db_upgraded	0	on
db_version	5	on
default_category	1	on
default_comment_status	4	on
default_comments_page	6	on
default_email_category	1	on
default_link_category	1	on
default_ping_status	4	on
default_pingback_flag	1	on
default_post_format	1	on
default_role	10	on
disallowed_keys	0	off
e_editor_counter	3	auto
elementor_active_kit	2	auto
elementor_allow_tracking	2	auto
elementor_angie_guide_auto_shown	3	auto
elementor_atomic_cache_validity__base	127	off
elementor_atomic_cache_validity__component-styles-related-posts	133	off
elementor_atomic_cache_validity__global	425	off
elementor_atomic_cache_validity__local	425	off
elementor_atomic_cache_validity__template-styles-related-posts	133	off
elementor_atomic_widgets_db_version	1	auto
elementor_beta	2	auto
elementor_checklist	604	auto
elementor_clear_cache	0	auto
elementor_connect_site_key	32	auto
elementor_custom_icon_sets_config	6	auto
elementor_disabled_elements	714	auto
elementor_enable_inspector	0	auto
elementor_events_db_version	5	off
elementor_font_display	4	auto
elementor_fonts_manager_font_types	6	auto
elementor_fonts_manager_fonts	6	auto
elementor_global_classes_db_version	1	auto
elementor_install_history	206	auto
elementor_landing_pages_activation	1	auto
elementor_log	28168	off
elementor_maintenance_mode_exclude_mode	9	auto
elementor_maintenance_mode_exclude_roles	6	auto
elementor_maintenance_mode_mode	0	auto
elementor_maintenance_mode_template_id	0	auto
elementor_notes_db_version	1	auto
elementor_onboarded	5	auto
elementor_onboarding_progress	237	auto
elementor_one_client_id	36	auto
elementor_one_client_secret	26	auto
elementor_one_internal_logs	11121	off
elementor_pro_install_history	56	auto
elementor_pro_license_key	46	auto
elementor_pro_license_status	5	auto
elementor_pro_remote_info_api_data_4.1.0	255555	off
elementor_pro_theme_builder_conditions	6	auto
elementor_pro_tracker_notice	1	auto
elementor_pro_version	5	auto
elementor_remote_info_feed_data	1951	off
elementor_remote_info_library	682646	off
elementor_replace_url	0	auto
elementor_reset_api_data	0	auto
elementor_rollback	0	auto
elementor_rollback_pro	0	auto
elementor_rollback_pro_separator	0	auto
elementor_submissions_db_version	1	auto
elementor_tracker_notice	1	auto
elementor_version	5	auto
elements_kit_onboard_status	9	auto
elementskit_options	8061	auto
elementskit-lite__banner_data	9676	auto
elementskit-lite__banner_last_check	10	auto
elementskit-lite__stories_data	6377	auto
elementskit-lite__stories_last_check	10	auto
elementskit-lite_install_date	19	auto
finished_splitting_shared_terms	1	on
finished_updating_comment_type	1	auto
fluentcrm_funnel_settings	50	on
fluentcrm_is_sending_emails	0	off
fluentcrm-global-settings	393	auto
fluentform_db_fluentform_logs_added	1	off
fluentform_empty_manager_scopes_normalized	5	off
fluentform_entry_details_migrated	3	off
fluentform_global_modules_status	247	off
fluentform_scheduled_actions_migrated	3	off
fresh_site	1	off
fs_accounts	12078	auto
fs_active_plugins	19	auto
fs_api_cache	6	off
fs_debug_mode	0	auto
fs_gdpr	51	auto
gmt_offset	1	on
googlesitekit_active_modules	73	auto
googlesitekit_analytics-4_settings	840	auto
googlesitekit_connected_proxy_url	34	auto
googlesitekit_conversion_tracking	24	auto
googlesitekit_credentials	444	auto
googlesitekit_db_version	7	auto
googlesitekit_has_connected_admins	1	auto
googlesitekit_search-console_settings	84	auto
googlesitekitpersistent_remote_features	1393	auto
hack_file	1	on
hello_elementor_settings_header_footer	2	auto
hello_elementor_settings_hello_style	2	auto
hello_elementor_settings_hello_theme	2	auto
hello_elementor_settings_page_title	2	auto
hello_elementor_settings_skip_link	2	auto
hello_theme_version	5	auto
home	33	on
html_type	9	on
image_default_align	0	on
image_default_link_type	4	on
image_default_size	0	on
initial_db_version	5	on
jwt_token_registry	148	auto
large_size_h	4	on
large_size_w	4	on
link_manager_enabled	1	on
links_updated_date_format	12	on
litespeed.admin_display.messages	137	auto
litespeed.admin_display.thirdparty_litespeed_check	1	auto
litespeed.cloud._summary	4272	auto
litespeed.conf._version	5	auto
litespeed.conf.api_key	0	auto
litespeed.conf.auto_upgrade	0	auto
litespeed.conf.cache	1	auto
litespeed.conf.cache-ajax_ttl	2	auto
litespeed.conf.cache-browser	0	auto
litespeed.conf.cache-commenter	1	auto
litespeed.conf.cache-drop_qs	31	auto
litespeed.conf.cache-exc	2	auto
litespeed.conf.cache-exc_cat	2	auto
litespeed.conf.cache-exc_cookies	2	auto
litespeed.conf.cache-exc_qs	2	auto
litespeed.conf.cache-exc_roles	2	auto
litespeed.conf.cache-exc_tag	2	auto
litespeed.conf.cache-exc_useragents	2	auto
litespeed.conf.cache-force_pub_uri	2	auto
litespeed.conf.cache-force_uri	2	auto
litespeed.conf.cache-login_cookie	0	auto
litespeed.conf.cache-mobile	0	auto
litespeed.conf.cache-mobile_rules	77	auto
litespeed.conf.cache-page_login	1	auto
litespeed.conf.cache-priv	1	auto
litespeed.conf.cache-priv_uri	2	auto
litespeed.conf.cache-rest	1	auto
litespeed.conf.cache-ttl_browser	8	auto
litespeed.conf.cache-ttl_feed	6	auto
litespeed.conf.cache-ttl_frontpage	6	auto
litespeed.conf.cache-ttl_priv	4	auto
litespeed.conf.cache-ttl_pub	6	auto
litespeed.conf.cache-ttl_rest	6	auto
litespeed.conf.cache-ttl_status	22	auto
litespeed.conf.cache-vary_cookies	2	auto
