lesson_id	topic_id	meta_key	val_len
864	863	_import_source_old_id	5
864	863	_video	520
865	863	_import_source_old_id	5
865	863	_video	536
866	863	_import_source_old_id	5
866	863	_video	541
869	868	_import_source_old_id	5
869	868	_video	491
870	868	_import_source_old_id	5
870	868	_video	462
871	868	_import_source_old_id	5
871	868	_video	462
872	868	_import_source_old_id	5
872	868	_video	458
873	868	_import_source_old_id	5
873	868	_video	458
874	868	_import_source_old_id	5
875	868	_import_source_old_id	5
875	868	_video	458
878	877	_import_source_old_id	5
878	877	_video	460
881	880	_import_source_old_id	5
881	880	_video	460
