ID	course_id	menu_order	post_status	post_name	lessons_n	quiz_n
863	732	1	publish	formation-dintegration-cfic-semence-royale-plantee-pour-prosperer	3	0
1094	736	1	publish	%f0%9f%8c%85-module-1-la-nouvelle-naissance	5	0
1100	736	2	publish	%f0%9f%95%8a%ef%b8%8f-module-2-laffirmation-de-la-foi	4	0
1105	736	3	publish	%f0%9f%93%96-module-3-la-croissance-par-la-parole	4	0
1110	736	4	publish	%f0%9f%99%8f-module-4-la-vie-de-priere-et-de-jeune	4	0
1115	736	5	publish	%f0%9f%9b%90-module-5-le-service-dans-le-royaume	4	0
1120	736	6	publish	%f0%9f%8c%8d-module-6-la-maturite-et-la-mission	5	0
868	867	1	publish	topic-1-foundations-of-sewing-and-tools-5	7	0
877	876	1	publish	tu-es-ne-pour-regner	1	0
880	879	1	publish	leader-royal	1	0
