post_type	meta_key	c
courses	_fluentcrm_settings	7
courses	_tutor_is_public_course	7
courses	_tutor_course_level	7
courses	rank_math_internal_links_processed	7
courses	tutor_course_sale_price	7
courses	_tutor_course_price_type	7
courses	_tutor_enable_qa	7
courses	_course_duration	7
courses	_tutor_course_settings	7
courses	ekit_post_views_count	5
courses	_thumbnail_id	4
courses	tutor_course_certificate_template	4
courses	_wp_old_slug	4
courses	_video	4
courses	_import_source	3
courses	_tutor_course_target_audience	3
courses	_tutor_course_started	3
courses	_tutor_course_benefits	3
courses	_tutor_course_requirements	3
courses	_import_source_old_id	3
courses	_tutor_course_material_includes	3
courses	_merged_from_course_id	1
courses	tutor_course_price	1
courses	_merge_date	1
lesson	rank_math_internal_links_processed	38
lesson	ekit_post_views_count	38
lesson	_tutor_attachments	28
lesson	_tutor_course_id_for_lesson	26
lesson	_cr_os_pushed	26
lesson	_import_source_old_id	12
lesson	_video	11
topics	_import_source_old_id	4
