table_name,exact_rows,family,migratory_utility,pii_risk,confidence,notes
noc_autologin,1,n0c,M3_technical,possible,medium,hosting helper
wp_abj404_engine_profiles,0,abj404,M3_abandon,no,high,plugin 404
wp_abj404_logsv2,2434,abj404,M3_archive_logs,no,high,
wp_abj404_logs_hits,0,abj404,M3_abandon,no,high,
wp_abj404_lookup,3,abj404,M2_redirects,no,high,
wp_abj404_redirects,995,abj404,M2_redirects,no,high,review useful redirects
wp_abj404_redirect_conditions,0,abj404,M3_abandon,no,high,
wp_abj404_view_done,995,abj404,M3_abandon,no,high,
wp_actionscheduler_actions,2641,action_scheduler,M3_abandon,no,high,jobs queue
wp_actionscheduler_claims,0,action_scheduler,M3_abandon,no,high,
wp_actionscheduler_groups,5,action_scheduler,M3_abandon,no,high,
wp_actionscheduler_logs,7909,action_scheduler,M3_abandon,no,high,
wp_commentmeta,0,wp_core,M3_empty,no,high,
wp_comments,0,wp_core,M3_empty,no,high,
wp_cr_event_signups,0,cr_custom,M3_empty,possible,high,custom plugin
wp_cr_forum_posts,2,cr_custom,M2_optional,possible,high,forum
wp_cr_live_comments,5,cr_custom,M2_analytics,possible,high,live
wp_cr_live_likes,3,cr_custom,M2_analytics,possible,high,
wp_cr_live_presence,2,cr_custom,M2_analytics,possible,high,
wp_cr_live_sessions,4,cr_custom,M2_analytics,possible,high,
wp_cr_live_views,41,cr_custom,M2_analytics,possible,high,
wp_cr_pdf_downloads,1,cr_custom,M3_optional,possible,high,
wp_cr_prayer_requests,1,cr_custom,M2_sensitive_archive,yes,high,PII_PRIVATE content
wp_e_events,0,elementor,M3_empty,no,high,
wp_e_notes,0,elementor,M3_empty,no,high,
wp_e_notes_users_relations,0,elementor,M3_empty,no,high,
wp_e_submissions,0,elementor,M3_empty,no,high,
wp_e_submissions_actions_log,0,elementor,M3_empty,no,high,
wp_e_submissions_values,0,elementor,M3_empty,no,high,
wp_fc_campaigns,3,fluentcrm,M2_archive,no,high,
wp_fc_campaign_emails,66,fluentcrm,M2_archive,yes,high,email content/history
wp_fc_campaign_url_metrics,10,fluentcrm,M3_analytics,no,high,
wp_fc_funnels,1,fluentcrm,M2_optional,no,high,
wp_fc_funnel_metrics,33,fluentcrm,M2_archive,no,high,
wp_fc_funnel_sequences,1,fluentcrm,M2_optional,no,high,
wp_fc_funnel_subscribers,33,fluentcrm,M1_import_review,yes,high,
