wp_user_id,email_fingerprint,canonical_fingerprint,email_domain,email_valid,normalisation_applied,source_duplicate_group,wp_privileged,wp_capabilities_shape,wp_registered,citadelle_match_level,citadelle_strict_profiles_hits,citadelle_strict_auth_hits,citadelle_canonical_profiles_hits,citadelle_canonical_auth_hits,citadelle_target_duplicate_siblings,citadelle_profile_role,citadelle_membre_statut,verdict,verdict_reason,wm4_action
1,8858cc72b9a657ce,8858cc72b9a657ce,chapelleduroyaume.org,yes,trim+nfkc+lower,no,yes,"a:2:{s:13:""administrator"";b:1;s:16:""tutor_instructor"";b:1;}",2026-05-11 13:50:21,none,0,0,0,0,0,,,PRIVILEGED_ACCOUNT,privilege=administrator,REJECTED_EXCLUDED_FROM_BATCH
2,32d7932c4e7b9847,8c12c2c748ecc387,gmail.com,yes,trim+nfkc+lower+dot_strip,no,no,"a:1:{s:20:""um_n1-semence-royale"";b:1;}",2026-05-14 09:51:25,strict_norm,1,1,6,6,5,visiteur,visiteur,ALREADY_PRESENT,strict_email_match,RAPPROCHER_NO_CREATE
3,675f30388f8b6504,675f30388f8b6504,gmail.com,yes,trim+nfkc+lower,no,no,"a:1:{s:20:""um_n1-semence-royale"";b:1;}",2026-05-15 09:11:40,none,0,0,0,0,0,,,ABSENT,no_match_in_citadelle,EXPORTABLE_CREATE_VISITEUR
4,57de823847d7bcf9,57de823847d7bcf9,orange.fr,yes,trim+nfkc+lower,no,no,"a:1:{s:20:""um_n1-semence-royale"";b:1;}",2026-05-15 09:11:52,none,0,0,0,0,0,,,ABSENT,no_match_in_citadelle,EXPORTABLE_CREATE_VISITEUR
5,f04e9abf2b120e78,f04e9abf2b120e78,orange.fr,yes,trim+nfkc+lower,no,no,"a:1:{s:20:""um_n1-semence-royale"";b:1;}",2026-05-15 09:11:54,none,0,0,0,0,0,,,ABSENT,no_match_in_citadelle,EXPORTABLE_CREATE_VISITEUR
6,6756506059847b20,6756506059847b20,gmail.com,yes,trim+nfkc+lower,no,no,"a:1:{s:20:""um_n1-semence-royale"";b:1;}",2026-05-15 09:11:56,none,0,0,0,0,0,,,ABSENT,no_match_in_citadelle,EXPORTABLE_CREATE_VISITEUR
7,dbe627aec6cfb3f8,dbe627aec6cfb3f8,gmail.com,yes,trim+nfkc+lower,no,no,"a:1:{s:20:""um_n1-semence-royale"";b:1;}",2026-05-15 09:11:58,none,0,0,0,0,0,,,ABSENT,no_match_in_citadelle,EXPORTABLE_CREATE_VISITEUR
8,b4638086b0e5e50a,b4638086b0e5e50a,gmail.com,yes,trim+nfkc+lower,no,no,"a:1:{s:20:""um_n1-semence-royale"";b:1;}",2026-05-15 09:12:11,none,0,0,0,0,0,,,ABSENT,no_match_in_citadelle,EXPORTABLE_CREATE_VISITEUR
9,cf94fab5da7c6c3a,cf94fab5da7c6c3a,gmail.com,yes,trim+nfkc+lower,no,no,"a:1:{s:20:""um_n1-semence-royale"";b:1;}",2026-05-15 09:12:13,none,0,0,0,0,0,,,ABSENT,no_match_in_citadelle,EXPORTABLE_CREATE_VISITEUR
10,46e26f9b1beb2b3a,46e26f9b1beb2b3a,gmail.com,yes,trim+nfkc+lower,no,no,"a:1:{s:20:""um_n1-semence-royale"";b:1;}",2026-05-15 09:12:15,strict_norm,1,1,1,1,0,visiteur,visiteur,ALREADY_PRESENT,strict_email_match,RAPPROCHER_NO_CREATE
11,14f30e6f75e261c2,14f30e6f75e261c2,gmail.com,yes,trim+nfkc+lower,no,no,"a:1:{s:20:""um_n1-semence-royale"";b:1;}",2026-05-15 09:12:18,none,0,0,0,0,0,,,ABSENT,no_match_in_citadelle,EXPORTABLE_CREATE_VISITEUR
12,b4ce9f8f778402b5,b4ce9f8f778402b5,gmail.com,yes,trim+nfkc+lower,no,no,"a:1:{s:20:""um_n1-semence-royale"";b:1;}",2026-05-15 09:12:33,none,0,0,0,0,0,,,ABSENT,no_match_in_citadelle,EXPORTABLE_CREATE_VISITEUR
13,06395e0e1a0a130d,06395e0e1a0a130d,gmail.com,yes,trim+nfkc+lower,no,no,"a:1:{s:20:""um_n1-semence-royale"";b:1;}",2026-05-15 09:12:35,none,0,0,0,0,0,,,ABSENT,no_match_in_citadelle,EXPORTABLE_CREATE_VISITEUR
14,f8a761232f186165,f8a761232f186165,yahoo.fr,yes,trim+nfkc+lower,no,no,"a:1:{s:20:""um_n1-semence-royale"";b:1;}",2026-05-15 09:12:37,none,0,0,0,0,0,,,ABSENT,no_match_in_citadelle,EXPORTABLE_CREATE_VISITEUR
15,5436fb48eaf0216f,5436fb48eaf0216f,gmail.com,yes,trim+nfkc+lower,no,no,"a:1:{s:20:""um_n1-semence-royale"";b:1;}",2026-05-15 09:12:40,none,0,0,0,0,0,,,ABSENT,no_match_in_citadelle,EXPORTABLE_CREATE_VISITEUR
16,385fba65cd613d03,385fba65cd613d03,gmail.com,yes,trim+nfkc+lower,no,no,"a:1:{s:20:""um_n1-semence-royale"";b:1;}",2026-05-15 09:12:50,none,0,0,0,0,0,,,ABSENT,no_match_in_citadelle,EXPORTABLE_CREATE_VISITEUR
17,f7ca09726ae7fab3,f7ca09726ae7fab3,gmail.com,yes,trim+nfkc+lower,no,no,"a:1:{s:20:""um_n1-semence-royale"";b:1;}",2026-05-15 09:12:52,none,0,0,0,0,0,,,ABSENT,no_match_in_citadelle,EXPORTABLE_CREATE_VISITEUR
18,413470c399b0b2be,413470c399b0b2be,gmail.com,yes,trim+nfkc+lower,no,no,"a:1:{s:20:""um_n1-semence-royale"";b:1;}",2026-05-15 09:12:55,none,0,0,0,0,0,,,ABSENT,no_match_in_citadelle,EXPORTABLE_CREATE_VISITEUR
19,0fe8ac126b0b605b,0fe8ac126b0b605b,gmail.com,yes,trim+nfkc+lower,no,no,"a:1:{s:20:""um_n1-semence-royale"";b:1;}",2026-05-15 09:12:57,none,0,0,0,0,0,,,ABSENT,no_match_in_citadelle,EXPORTABLE_CREATE_VISITEUR
20,25f537c3bc7bdd13,25f537c3bc7bdd13,gmail.com,yes,trim+nfkc+lower,no,no,"a:1:{s:20:""um_n1-semence-royale"";b:1;}",2026-05-15 09:13:10,none,0,0,0,0,0,,,ABSENT,no_match_in_citadelle,EXPORTABLE_CREATE_VISITEUR
21,55ecc0dd66653e05,55ecc0dd66653e05,gmail.com,yes,trim+nfkc+lower,no,no,"a:1:{s:20:""um_n1-semence-royale"";b:1;}",2026-05-15 09:13:12,strict_norm,1,1,1,1,0,visiteur,visiteur,ALREADY_PRESENT,strict_email_match,RAPPROCHER_NO_CREATE
